profile,Meta,Isolate,log_odds,p,padj,Name,full
K20081,109,78,-2.089811962286997,1.5638853846799346e-35,1.7528957042249579e-35,N-methyltransferase StaMA [EC:2.1.1.-],N-methyltransferase StaMA [EC:2.1.1.-] - K20081
K18221,67,48,-2.0898820037027965,1.766787484023459e-22,1.8619679545432412e-22,"tetracycline 11a-monooxygenase, tetracycline resistance protein [EC:1.14.13.231]","tetracycline 11a-monooxygenase, tetracycline resistance protein [EC:1.14.13.231] - K18221"
PF03928,313,221,-2.08988966725373,3.306147838716377e-97,8.524063739553988e-97,Haem degrading protein HbpS-like,Haem degrading protein HbpS-like - PF03928
K08159,1384,904,-2.0899922317347026,0,0,"MFS transporter, DHA1 family, L-arabinose/isopropyl-beta-D-thiogalactopyranoside export protein","MFS transporter, DHA1 family, L-arabinose/isopropyl-beta-D-thiogalactopyranoside export protein - K08159"
K21702,4200,2288,-2.0902865660862293,0,0,galactitol 2-dehydrogenase (L-tagatose-forming) [EC:1.1.1.406],galactitol 2-dehydrogenase (L-tagatose-forming) [EC:1.1.1.406] - K21702
K18927,2243,1382,-2.0907031154391325,0,0,"LysR family transcriptional regulator, L-lactate utilization regulator","LysR family transcriptional regulator, L-lactate utilization regulator - K18927"
K12677,4247,2308,-2.0907715611043245,0,0,clavulanate-9-aldehyde reducatase,clavulanate-9-aldehyde reducatase - K12677
K17739,4183,2283,-2.091489690821633,0,0,tetrahydroxynaphthalene reductase [EC:1.1.1.252],tetrahydroxynaphthalene reductase [EC:1.1.1.252] - K17739
K08690,4183,2283,-2.091489690821633,0,0,"cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase [EC:1.3.1.56]","cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase [EC:1.3.1.56] - K08690"
K19576,3854,2146,-2.0919967505105634,0,0,"MFS transporter, DHA1 family, quinolone resistance protein","MFS transporter, DHA1 family, quinolone resistance protein - K19576"
K18333,4178,2282,-2.092133181941953,0,0,L-fucose dehydrogenase [EC:1.1.1.435],L-fucose dehydrogenase [EC:1.1.1.435] - K18333
K18445,334,236,-2.092211143030124,8.617854046558829e-104,1.5315192712976088e-103,diadenosine hexaphosphate hydrolase (ATP-forming) [EC:3.6.1.61],diadenosine hexaphosphate hydrolase (ATP-forming) [EC:3.6.1.61] - K18445
K11523,3413,1953,-2.092387910718337,0,0,"two-component system, chemotaxis family, response regulator PixH","two-component system, chemotaxis family, response regulator PixH - K11523"
K03283,71,51,-2.092476030692936,7.968676094872663e-24,8.442379920271271e-24,heat shock 70kDa protein 1/6/8,heat shock 70kDa protein 1/6/8 - K03283
TIGR04416.1,597,414,-2.09298663446785,7.325950059199244e-180,9.7563049201082e-179,group II intron reverse transcriptase/maturase,group II intron reverse transcriptase/maturase - TIGR04416.1
K13774,4143,2269,-2.093000975382564,0,0,citronellol/citronellal dehydrogenase,citronellol/citronellal dehydrogenase - K13774
K14746,4113,2257,-2.09325261510384,0,0,(S)-1-phenylethanol dehydrogenase [EC:1.1.1.311],(S)-1-phenylethanol dehydrogenase [EC:1.1.1.311] - K14746
NF033679.1,89,64,-2.093896302064035,1.60219728700302e-29,2.3216641170907318e-29,DNRLRE domain-containing protein,DNRLRE domain-containing protein - NF033679.1
NF010394.0,287,204,-2.094783559476231,3.471873400309533e-90,1.6740814844021254e-89,conjugal transfer coupling protein TraG,conjugal transfer coupling protein TraG - NF010394.0
K14189,4121,2263,-2.09490121727727,0,0,uncharacterized oxidoreductase [EC:1.-.-.-],uncharacterized oxidoreductase [EC:1.-.-.-] - K14189
K23666,135,97,-2.0952449046644293,6.457859007949931e-44,7.598909283790708e-44,fumiquinazoline F monooxygenase [EC:1.14.14.-],fumiquinazoline F monooxygenase [EC:1.14.14.-] - K23666
PF00009,261,186,-2.095505019242704,1.835045936296197e-82,4.166971368539654e-82,Elongation factor Tu GTP binding domain,Elongation factor Tu GTP binding domain - PF00009
K05711,4179,2288,-2.095541881903576,0,0,"2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase [EC:1.3.1.87]","2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase [EC:1.3.1.87] - K05711"
PF11348,68,49,-2.095599108159815,5.403122788737223e-23,6.561136559454558e-23,Protein of unknown function (DUF3150),Protein of unknown function (DUF3150) - PF11348
K26078,4207,2300,-2.095842147700419,0,0,2-(R)-hydroxypropyl-CoM dehydrogenase [EC:1.1.1.268],2-(R)-hydroxypropyl-CoM dehydrogenase [EC:1.1.1.268] - K26078
K20975,817,559,-2.096005935567977,1.242896329400839e-241,3.7769568068200256e-241,"two-component system, sensor histidine kinase [EC:2.7.13.3]","two-component system, sensor histidine kinase [EC:2.7.13.3] - K20975"
K21742,2125,1327,-2.0973047034108694,0,0,"LysR family transcriptional regulator, transcriptional activator for ttdABT operon","LysR family transcriptional regulator, transcriptional activator for ttdABT operon - K21742"
K17940,322,229,-2.09795006719999,3.777512378938967e-101,6.614609088715506e-101,2-heptyl-3-hydroxy-4(1H)-quinolone synthase [EC:1.14.13.182],2-heptyl-3-hydroxy-4(1H)-quinolone synthase [EC:1.14.13.182] - K17940
K18552,820,562,-2.098053234372698,3.2394267133577943e-243,9.91023150916056e-243,"MFS transporter, DHA1 family, chloramphenicol/florfenicol resistance protein","MFS transporter, DHA1 family, chloramphenicol/florfenicol resistance protein - K18552"
PF01230,129,93,-2.0982583424068726,2.959362932122759e-42,4.323647856176836e-42,HIT domain,HIT domain - PF01230
K19630,4024,2228,-2.0982639399076706,0,0,4-formylbenzenesulfonate dehydrogenase [EC:1.2.1.62],4-formylbenzenesulfonate dehydrogenase [EC:1.2.1.62] - K19630
PF02811,466,328,-2.098335001856477,1.006216676716123e-143,3.623940062033416e-143,PHP domain,PHP domain - PF02811
K15238,4033,2232,-2.098402420125957,0,0,"2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase 2 [EC:1.3.1.-]","2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase 2 [EC:1.3.1.-] - K15238"
K11810,910,620,-2.0988201717657895,8.715037577021494e-268,2.92134592943264e-267,"MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 12","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 12 - K11810"
PF06968,65,47,-2.0990131036573207,3.66424033314584e-22,4.431041277406448e-22,Biotin and Thiamin Synthesis associated domain,Biotin and Thiamin Synthesis associated domain - PF06968
K08182,362,257,-2.0992065623193876,2.6894723826057846e-113,5.018210764563997e-113,"MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 5","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 5 - K08182"
K14777,126,91,-2.099882439069753,2.0025029522901822e-41,2.3192726144933474e-41,ATP-dependent RNA helicase DDX47/RRP3 [EC:3.6.4.13],ATP-dependent RNA helicase DDX47/RRP3 [EC:3.6.4.13] - K14777
K12703,4106,2265,-2.099947697776436,0,0,novobiocin biosynthesis protein NovJ,novobiocin biosynthesis protein NovJ - K12703
PF06290,94,68,-2.0999916316212395,2.2164303636934755e-31,2.868394281259021e-31,Plasmid SOS inhibition protein (PsiB),Plasmid SOS inhibition protein (PsiB) - PF06290
K10220,247,177,-2.1001120280571337,8.384973432177808e-79,1.2617772520536798e-78,4-oxalmesaconate hydratase [EC:4.2.1.83],4-oxalmesaconate hydratase [EC:4.2.1.83] - K10220
TIGR02393.1,58,42,-2.100585024143215,5.528702932758279e-20,7.038819060067065e-20,RNA polymerase sigma factor RpoD,RNA polymerase sigma factor RpoD - TIGR02393.1
K15890,4110,2268,-2.1007666483259584,0,0,NADP+-dependent farnesol dehydrogenase [EC:1.1.1.216],NADP+-dependent farnesol dehydrogenase [EC:1.1.1.216] - K15890
K20963,883,604,-2.1009637258649843,2.074142792556618e-261,6.793529826764907e-261,c-di-GMP phosphodiesterase [EC:3.1.4.52],c-di-GMP phosphodiesterase [EC:3.1.4.52] - K20963
PF01479,69,50,-2.1011262160505746,1.6510025740773826e-23,2.0143271951584876e-23,S4 domain,S4 domain - PF01479
PF13649,2300,1424,-2.1011759042668383,0,0,Methyltransferase domain,Methyltransferase domain - PF13649
K21828,500,352,-2.1011894041541717,2.8105821773513753e-154,6.170712645408018e-154,"CRP/FNR family transcriptional regulator, arginine deiminase pathway regulator","CRP/FNR family transcriptional regulator, arginine deiminase pathway regulator - K21828"
PF13174,298,213,-2.1012870224472975,1.9087162431557253e-94,4.819508513968206e-94,Tetratricopeptide repeat,Tetratricopeptide repeat - PF13174
K11905,98,71,-2.1016382578585655,1.002207555827389e-32,1.1062498213761439e-32,type VI secretion system protein,type VI secretion system protein - K11905
K19661,909,621,-2.1016726054180306,1.0666843645877095e-268,3.592437994522696e-268,"two-component system, NtrC family, sensor histidine kinase HupT/HoxJ [EC:2.7.13.3]","two-component system, NtrC family, sensor histidine kinase HupT/HoxJ [EC:2.7.13.3] - K19661"
K05783,4104,2267,-2.1016840662017087,0,0,dihydroxycyclohexadiene carboxylate dehydrogenase [EC:1.3.1.25 1.3.1.-],dihydroxycyclohexadiene carboxylate dehydrogenase [EC:1.3.1.25 1.3.1.-] - K05783
K19958,4056,2247,-2.101712395549181,0,0,naphthyl-2-hydroxymethylsuccinyl-CoA dehydrogenase BnsD subunit [EC:1.1.-.-],naphthyl-2-hydroxymethylsuccinyl-CoA dehydrogenase BnsD subunit [EC:1.1.-.-] - K19958
K17747,3909,2185,-2.1017865976096455,0,0,1-deoxy-11beta-hydroxypentalenate dehydrogenase [EC:1.1.1.340],1-deoxy-11beta-hydroxypentalenate dehydrogenase [EC:1.1.1.340] - K17747
K16138,1235,824,-2.101852626925573,0,0,"TetR/AcrR family transcriptional regulator, repressor for uid operon","TetR/AcrR family transcriptional regulator, repressor for uid operon - K16138"
PF08719,109,79,-2.102515271326974,3.031009677038602e-36,4.129639577572243e-36,NADAR domain,NADAR domain - PF08719
K20678,62,45,-2.1027577822229357,2.4855177851496783e-21,2.6068006425192856e-21,dTDP-fucopyranose mutase [EC:5.4.99.59],dTDP-fucopyranose mutase [EC:5.4.99.59] - K20678
PF03275,62,45,-2.1027577822229357,2.4855177851496783e-21,2.994739530551194e-21,UDP-galactopyranose mutase,UDP-galactopyranose mutase - PF03275
K07798,252,181,-2.1028248871073654,1.1361126317916592e-80,1.743687422621094e-80,"membrane fusion protein, copper/silver efflux system","membrane fusion protein, copper/silver efflux system - K07798"
PF05488,252,181,-2.1028248871073654,1.1361126317916592e-80,2.525540328853612e-80,PAAR motif,PAAR motif - PF05488
K10942,947,646,-2.1030996084511973,1.7484242300738308e-279,6.1532737485662294e-279,"two-component system, sensor histidine kinase FlrB [EC:2.7.13.3]","two-component system, sensor histidine kinase FlrB [EC:2.7.13.3] - K10942"
K13938,3983,2219,-2.103395872759408,0,0,dihydromonapterin reductase / dihydrofolate reductase [EC:1.5.1.50 1.5.1.3],dihydromonapterin reductase / dihydrofolate reductase [EC:1.5.1.50 1.5.1.3] - K13938
K01689,84,61,-2.1034829090695255,2.2427316758560135e-28,2.421125292668014e-28,enolase [EC:4.2.1.11],enolase [EC:4.2.1.11] - K01689
K12216,66,48,-2.1047076952929222,1.1187851604921319e-22,1.1795528597357046e-22,intracellular multiplication protein IcmN,intracellular multiplication protein IcmN - K12216
K08146,124,90,-2.104723627333785,4.1398660583697493e-41,4.788094508156051e-41,"MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 9","MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 9 - K08146"
K19267,716,498,-2.105514902871415,3.5795212459534963e-217,9.811845867397431e-217,NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2],NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2] - K19267
K24856,4089,2267,-2.1055189116009654,0,0,NADPH-dependent reductase,NADPH-dependent reductase - K24856
TIGR00797.1,146,106,-2.1063338090186687,3.756187644254881e-48,7.363180919462256e-48,MATE family efflux transporter,MATE family efflux transporter - TIGR00797.1
PF01242,121,88,-2.106576205515755,2.79903738072053e-40,4.001331591023872e-40,6-pyruvoyl tetrahydropterin synthase,6-pyruvoyl tetrahydropterin synthase - PF01242
PF17757,59,43,-2.1068805094727874,1.6863890668517123e-20,2.0245383991196527e-20,UvrB interaction domain,UvrB interaction domain - PF17757
PF13561,4460,2421,-2.106909115426978,0,0,Enoyl-(Acyl carrier protein) reductase,Enoyl-(Acyl carrier protein) reductase - PF13561
PF03797,372,266,-2.107359292039032,9.02584740839508e-118,2.7336432242114435e-117,Autotransporter beta-domain,Autotransporter beta-domain - PF03797
K18257,4046,2252,-2.10737519924837,0,0,"cis-3,4-dihydrophenanthrene-3,4-diol dehydrogenase [EC:1.3.1.49]","cis-3,4-dihydrophenanthrene-3,4-diol dehydrogenase [EC:1.3.1.49] - K18257"
K08187,437,311,-2.1075235669853476,3.1632130641304336e-137,6.505696519575036e-137,"MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10","MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 10 - K08187"
K15373,4107,2278,-2.107650305930358,0,0,sulfoacetaldehyde reductase [EC:1.1.1.313],sulfoacetaldehyde reductase [EC:1.1.1.313] - K15373
PF03952,85,62,-2.107900649317671,6.850335677123506e-29,8.700563027861074e-29,"Enolase, N-terminal domain","Enolase, N-terminal domain - PF03952"
K18900,2103,1327,-2.107956071786869,0,0,"LysR family transcriptional regulator, regulator for bpeEF and oprC","LysR family transcriptional regulator, regulator for bpeEF and oprC - K18900"
K15019,1162,784,-2.1083543424302773,0,0,3-hydroxypropionyl-coenzyme A dehydratase [EC:4.2.1.116],3-hydroxypropionyl-coenzyme A dehydratase [EC:4.2.1.116] - K15019
K00526,63,46,-2.108628775742203,7.582367918381958e-22,7.970717576670203e-22,ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1],ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1] - K00526
PF01055,63,46,-2.108628775742203,7.582367918381958e-22,9.164329175026685e-22,Glycosyl hydrolases family 31 TIM-barrel domain,Glycosyl hydrolases family 31 TIM-barrel domain - PF01055
K26595,129,94,-2.108965278326643,5.710706963835964e-43,6.68362245265027e-43,cyclopropane mycolic acid synthase MmaA2,cyclopropane mycolic acid synthase MmaA2 - K26595
K07494,334,240,-2.1094573085601525,1.1852725813582054e-106,2.1375027322441094e-106,putative transposase,putative transposase - K07494
K07499,617,434,-2.1095443263187095,2.431412409123853e-190,6.036942659837509e-190,putative transposase,putative transposase - K07499
PF00925,104,76,-2.110494515972222,4.2284788613290277e-35,5.687757032349352e-35,GTP cyclohydrolase II,GTP cyclohydrolase II - PF00925
PF00027,1025,700,-2.110606659624716,1.1978641007483705e-303,9.79802220436079e-303,Cyclic nucleotide-binding domain,Cyclic nucleotide-binding domain - PF00027
PF00106,4572,2472,-2.110693696840448,0,0,short chain dehydrogenase,short chain dehydrogenase - PF00106
K18852,137,100,-2.111152188470916,1.1634943614486361e-45,1.3899760882955079e-45,D-amino-acid N-acetyltransferase [EC:2.3.1.36],D-amino-acid N-acetyltransferase [EC:2.3.1.36] - K18852
PF18897,141,103,-2.1121806691293727,5.248626010721384e-47,8.085250810945475e-47,Recombination directionality factor-like,Recombination directionality factor-like - PF18897
K15062,230,167,-2.1122278265173478,4.975057232497894e-75,7.300054679270276e-75,OH-DDVA meta-cleavage compound hydrolase,OH-DDVA meta-cleavage compound hydrolase - K15062
TIGR03734.1,152,111,-2.1125587581233316,1.5762641727689552e-50,3.257353795451117e-50,PRTRC system ParB family protein,PRTRC system ParB family protein - TIGR03734.1
K21375,112,82,-2.112763084813445,8.635533221128528e-38,9.7776962178186e-38,albonoursin synthase [EC:1.3.3.13],albonoursin synthase [EC:1.3.3.13] - K21375
K00455,101,74,-2.112948177185243,2.8558503011510107e-34,3.1824873849942727e-34,"3,4-dihydroxyphenylacetate 2,3-dioxygenase [EC:1.13.11.15]","3,4-dihydroxyphenylacetate 2,3-dioxygenase [EC:1.13.11.15] - K00455"
K02668,145,106,-2.113170651818484,2.3666995394201742e-48,2.8845050604566156e-48,"two-component system, NtrC family, sensor histidine kinase PilS [EC:2.7.13.3]","two-component system, NtrC family, sensor histidine kinase PilS [EC:2.7.13.3] - K02668"
K16180,90,66,-2.1133895456670206,9.445709520847017e-31,1.0310399581604592e-30,methylornithine synthase [EC:5.4.99.58],methylornithine synthase [EC:5.4.99.58] - K16180
K16135,2333,1456,-2.1135858618214423,0,0,"LysR family transcriptional regulator, transcriptional activator for dmlA","LysR family transcriptional regulator, transcriptional activator for dmlA - K16135"
K13070,3939,2217,-2.1137689528636217,0,0,momilactone-A synthase [EC:1.1.1.295],momilactone-A synthase [EC:1.1.1.295] - K13070
K13767,1159,786,-2.1137893359039075,0,0,enoyl-CoA hydratase [EC:4.2.1.17],enoyl-CoA hydratase [EC:4.2.1.17] - K13767
K15237,3862,2184,-2.113796853136392,0,0,"2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase 1 [EC:1.3.1.-]","2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase 1 [EC:1.3.1.-] - K15237"
PF11716,116,85,-2.113814293592128,3.9015091222884575e-39,5.5229772645192485e-39,Mycothiol maleylpyruvate isomerase N-terminal domain,Mycothiol maleylpyruvate isomerase N-terminal domain - PF11716
PF02985,105,77,-2.1140328754516533,1.2905596358244224e-35,1.7470687843940172e-35,HEAT repeat,HEAT repeat - PF02985
K20576,3496,2023,-2.114093695549618,0,0,NADP-dependent dehydrogenase [EC:1.1.1.-],NADP-dependent dehydrogenase [EC:1.1.1.-] - K20576
K20425,3975,2233,-2.114175579705631,0,0,cyclitol oxidoreductase,cyclitol oxidoreductase - K20425
K07546,1150,781,-2.114620667113064,0,0,(E)-benzylidenesuccinyl-CoA hydratase [EC:4.2.1.180],(E)-benzylidenesuccinyl-CoA hydratase [EC:4.2.1.180] - K07546
K08299,1149,781,-2.1155010537991483,0,0,crotonobetainyl-CoA hydratase [EC:4.2.1.149],crotonobetainyl-CoA hydratase [EC:4.2.1.149] - K08299
K16426,1144,778,-2.1156599824357847,0,0,dehydration protein DpgD,dehydration protein DpgD - K16426
PF00710,124,91,-2.115777465642895,7.958116979321364e-42,1.1590411124115064e-41,"Asparaginase, N-terminal","Asparaginase, N-terminal - PF00710"
K14582,3938,2220,-2.1158976129328235,0,0,"cis-1,2-dihydro-1,2-dihydroxynaphthalene/dibenzothiophene dihydrodiol dehydrogenase [EC:1.3.1.29 1.3.1.60]","cis-1,2-dihydro-1,2-dihydroxynaphthalene/dibenzothiophene dihydrodiol dehydrogenase [EC:1.3.1.29 1.3.1.60] - K14582"
K13636,2158,1366,-2.116261231349782,0,0,"LysR family transcriptional regulator, D-serine deaminase activator","LysR family transcriptional regulator, D-serine deaminase activator - K13636"
K22607,3920,2213,-2.1163362533937375,0,0,3beta-hydroxycholanate 3-dehydrogenase (NADP+) [EC:1.1.1.393],3beta-hydroxycholanate 3-dehydrogenase (NADP+) [EC:1.1.1.393] - K22607
K01136,215,157,-2.1169020991378646,7.299658882343432e-71,1.040019678030609e-70,iduronate 2-sulfatase [EC:3.1.6.13],iduronate 2-sulfatase [EC:3.1.6.13] - K01136
K13766,1149,782,-2.1169159389780097,0,0,methylglutaconyl-CoA hydratase [EC:4.2.1.18],methylglutaconyl-CoA hydratase [EC:4.2.1.18] - K13766
K18383,1129,770,-2.1175979644248533,0,0,feruloyl-CoA hydratase/lyase [EC:4.1.2.61],feruloyl-CoA hydratase/lyase [EC:4.1.2.61] - K18383
TIGR00494.1,95,70,-2.1183315958292708,1.3015907270250048e-32,1.9676299458990613e-32,fluoride efflux transporter CrcB,fluoride efflux transporter CrcB - TIGR00494.1
K13951,481,345,-2.1191281401257442,5.475731533012178e-153,1.1959207813922805e-152,alcohol dehydrogenase 1/7 [EC:1.1.1.1],alcohol dehydrogenase 1/7 [EC:1.1.1.1] - K13951
K08164,2087,1331,-2.119370755564518,0,0,"MFS transporter, DHA1 family, putative efflux transporter","MFS transporter, DHA1 family, putative efflux transporter - K08164"
K25787,3811,2171,-2.1195081005639027,0,0,hydroxysteroid 17beta dehydrogenase 13 [EC:1.1.-.-],hydroxysteroid 17beta dehydrogenase 13 [EC:1.1.-.-] - K25787
PF00113,84,62,-2.1196073985745656,4.306683381328314e-29,5.484882398478987e-29,"Enolase, C-terminal TIM barrel domain","Enolase, C-terminal TIM barrel domain - PF00113"
K21159,195,143,-2.1197412371985327,7.790057607860266e-65,1.07177495879572e-64,epoxide hydrolase,epoxide hydrolase - K21159
K03431,88,65,-2.1204720217543023,1.94469229253874e-30,2.1190206703729348e-30,phosphoglucosamine mutase [EC:5.4.2.10],phosphoglucosamine mutase [EC:5.4.2.10] - K03431
PF07057,107,79,-2.120886001274197,1.2002148797618533e-36,1.645867276084289e-36,"DNA helicase TraI, C-terminal","DNA helicase TraI, C-terminal - PF07057"
K03762,1311,885,-2.1210986925343454,0,0,"MFS transporter, MHS family, proline/betaine transporter","MFS transporter, MHS family, proline/betaine transporter - K03762"
K23465,1782,1163,-2.1213353638913657,0,0,(E)-2-((N-methylformamido)methylene)succinate hydrolase [EC:3.5.1.-],(E)-2-((N-methylformamido)methylene)succinate hydrolase [EC:3.5.1.-] - K23465
K10216,2145,1365,-2.121567512173567,0,0,2-hydroxymuconate-semialdehyde hydrolase [EC:3.7.1.9],2-hydroxymuconate-semialdehyde hydrolase [EC:3.7.1.9] - K10216
K01561,96,71,-2.1220686501991812,3.9675397994182065e-33,4.388127057307063e-33,haloacetate dehalogenase [EC:3.8.1.3],haloacetate dehalogenase [EC:3.8.1.3] - K01561
K07517,189,139,-2.1222238065330794,3.5885942180825635e-63,4.888922699716398e-63,Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8],Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8] - K07517
K07536,1135,777,-2.122230702949938,0,0,2-ketocyclohexanecarboxyl-CoA hydrolase [EC:3.1.2.-],2-ketocyclohexanecarboxyl-CoA hydrolase [EC:3.1.2.-] - K07536
PF03150,130,96,-2.122375354222445,3.3371177053581427e-44,4.985289022216698e-44,Di-haem cytochrome c peroxidase,Di-haem cytochrome c peroxidase - PF03150
K19550,3848,2192,-2.1226013634382483,0,0,bacilysin biosynthesis oxidoreductase BacG [EC:1.3.1.-],bacilysin biosynthesis oxidoreductase BacG [EC:1.3.1.-] - K19550
K11927,100,74,-2.1228112456967247,1.7923073164831832e-34,2.000417882983682e-34,ATP-dependent RNA helicase RhlE [EC:3.6.4.13],ATP-dependent RNA helicase RhlE [EC:3.6.4.13] - K11927
K00492,321,234,-2.123204240380639,6.155044420948207e-105,1.0993032261094372e-104,"1,3,7-trimethyluric acid 5-monooxygenase [EC:1.14.13.212]","1,3,7-trimethyluric acid 5-monooxygenase [EC:1.14.13.212] - K00492"
K06128,62,46,-2.124387705733435,4.762952185138015e-22,5.01005346422415e-22,lysophospholipase I [EC:3.1.1.5],lysophospholipase I [EC:3.1.1.5] - K06128
PF07110,127,94,-2.1244911543990783,2.252728004488446e-43,3.3331765314819495e-43,EthD domain,EthD domain - PF07110
K11148,3585,2079,-2.124512112031725,0,0,dehydrogenase/reductase SDR family member 4-like protein 2 [EC:1.1.-.-],dehydrogenase/reductase SDR family member 4-like protein 2 [EC:1.1.-.-] - K11148
K18562,227,167,-2.125332815346634,1.236739634737672e-75,1.8211091122511797e-75,2-oxoglutarate-dependent dioxygenase [EC:1.14.20.-],2-oxoglutarate-dependent dioxygenase [EC:1.14.20.-] - K18562
K03721,488,352,-2.1255659661969695,1.1924818810430243e-156,2.6424554248953384e-156,"transcriptional regulator of aroF, aroG, tyrA and aromatic amino acid transport","transcriptional regulator of aroF, aroG, tyrA and aromatic amino acid transport - K03721"
K19183,281,206,-2.1258653812782753,8.11674349549737e-93,1.3527005466040209e-92,festuclavine dehydrogenase [EC:1.5.1.44],festuclavine dehydrogenase [EC:1.5.1.44] - K19183
K09023,1644,1088,-2.12606768095284,0,0,aminoacrylate hydrolase [EC:3.5.1.-],aminoacrylate hydrolase [EC:3.5.1.-] - K09023
PF04120,120,89,-2.126115561395767,3.3677309941746387e-41,4.877331109393819e-41,Low affinity iron permease,Low affinity iron permease - PF04120
K22090,3895,2218,-2.126130072931355,0,0,noroxomaritidine/norcraugsodine reductase [EC:1.3.1.- 1.4.1.-],noroxomaritidine/norcraugsodine reductase [EC:1.3.1.- 1.4.1.-] - K22090
K06998,101,75,-2.1263178447144444,5.459896635494733e-35,6.104747120017331e-35,"trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]","trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17] - K06998"
K26591,124,92,-2.1267131684342786,1.5200859484533465e-42,1.7740830645197762e-42,cyclopropane mycolic acid synthase PcaA,cyclopropane mycolic acid synthase PcaA - K26591
K19622,2791,1707,-2.1267460090020553,0,0,"two-component system, response regulator PhcR","two-component system, response regulator PhcR - K19622"
PF13007,729,517,-2.127277771069271,2.241412185442404e-228,1.257681281831571e-227,Transposase C of IS166 homeodomain,Transposase C of IS166 homeodomain - PF13007
NF010396.0,786,555,-2.1272856666087003,9.366234208137392e-245,1.916651341616408e-243,replication protein C domain-containing protein,replication protein C domain-containing protein - NF010396.0
K19960,3810,2183,-2.127323625279806,0,0,cyclohexanol dehydrogenase [EC:1.1.1.245],cyclohexanol dehydrogenase [EC:1.1.1.245] - K19960
K26590,109,81,-2.127456997080068,1.1138849397873367e-37,1.26035602766719e-37,mycolic acid methyltransferase UmaA [EC:2.1.1.-],mycolic acid methyltransferase UmaA [EC:2.1.1.-] - K26590
K18092,2029,1309,-2.128291392648313,0,0,"2-hydroxy-6-oxo-octa-2,4-dienoate hydrolase [EC:3.7.1.-]","2-hydroxy-6-oxo-octa-2,4-dienoate hydrolase [EC:3.7.1.-] - K18092"
K17745,3771,2168,-2.128629731266263,0,0,sepiapterin reductase [EC:1.1.1.325],sepiapterin reductase [EC:1.1.1.325] - K17745
K09688,237,175,-2.129827743845274,2.2544042258704956e-79,3.419156984603102e-79,capsular polysaccharide transport system permease protein,capsular polysaccharide transport system permease protein - K09688
K07684,1748,1152,-2.129888980302719,0,0,"two-component system, NarL family, nitrate/nitrite response regulator NarL","two-component system, NarL family, nitrate/nitrite response regulator NarL - K07684"
K17746,3729,2152,-2.130206787137044,0,0,chanoclavine-I dehydrogenase [EC:1.1.1.332],chanoclavine-I dehydrogenase [EC:1.1.1.332] - K17746
K15869,3845,2203,-2.130288325997172,0,0,3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase [EC:1.1.1.395],3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase [EC:1.1.1.395] - K15869
PF02900,219,162,-2.1302943479608367,1.1823866881793853e-73,2.4328470120821184e-73,Catalytic LigB subunit of aromatic ring-opening dioxygenase,Catalytic LigB subunit of aromatic ring-opening dioxygenase - PF02900
K15570,641,459,-2.130330503945082,1.0849105027267174e-203,2.844623977830053e-203,naphthyl-2-methylsuccinate CoA transferase subunit [EC:2.8.3.-],naphthyl-2-methylsuccinate CoA transferase subunit [EC:2.8.3.-] - K15570
K26594,110,82,-2.130642309476436,3.390850976381835e-38,3.8497804782861546e-38,mycolic acid methyltransferase MmaA1 [EC:2.1.1.-],mycolic acid methyltransferase MmaA1 [EC:2.1.1.-] - K26594
PF00378,1154,795,-2.1307698290949126,0,0,Enoyl-CoA hydratase/isomerase,Enoyl-CoA hydratase/isomerase - PF00378
K19416,75,56,-2.1307934962867567,1.323489264518841e-26,1.416246631775717e-26,modulator of FtsH protease,modulator of FtsH protease - K19416
