Accession	Name
TIGR02738	type-F conjugative transfer system pilin assembly thiol-disulfide isomerase TrbB
TIGR02739	type-F conjugative transfer system pilin assembly protein TraF
TIGR02740	TraF-like protein
TIGR02741	type-F conjugative transfer system pilin chaperone TraQ
TIGR02742	type-F conjugative transfer system pilin assembly protein TrbC
TIGR02743	type-F conjugative transfer system protein TraW
TIGR02744	type-F conjugative transfer system protein TrbI
TIGR02745	cytochrome c oxidase accessory protein CcoG
TIGR02746	type IV secretion system protein TraC
TIGR02747	type IV conjugative transfer system lipoprotein TraV
TIGR02748	heptaprenyl diphosphate synthase component II
TIGR02749	solanesyl diphosphate synthase
TIGR02750	type-F conjugative transfer system mating-pair stabilization protein TraN
TIGR02751	phosphoenolpyruvate carboxylase
TIGR02752	demethylmenaquinone methyltransferase
TIGR02753	superoxide dismutase, Ni
TIGR02754	nickel-type superoxide dismutase maturation protease
TIGR02755	type-F conjugative transfer system pilin acetylase TraX
TIGR02756	type-F conjugative transfer system secretin TraK
TIGR02757	TIGR02757 family protein
TIGR02758	type IV conjugative transfer system pilin TraA
TIGR02759	type IV conjugative transfer system coupling protein TraD
TIGR02760	conjugative transfer relaxase/helicase TraI
TIGR02761	type IV conjugative transfer system protein TraE
TIGR02762	type IV conjugative transfer system protein TraL
TIGR02763	scaffolding protein
TIGR02764	polysaccharide deacetylase family sporulation protein PdaB
TIGR02765	DASH family cryptochrome
TIGR02766	cryptochrome photoreceptor
TIGR02767	Ti-type conjugative transfer system protein TraG
TIGR02768	Ti-type conjugative transfer relaxase TraA
TIGR02769	nickel import ATP-binding protein NikE
TIGR02770	nickel import ATP-binding protein NikD
TIGR02771	conjugative transfer signal peptidase TraF
TIGR02772	Ku protein
TIGR02773	helicase-exonuclease AddAB subunit AddB
TIGR02774	ATP-dependent nuclease subunit B
TIGR02775	P-type conjugative transfer protein TrbG
TIGR02776	DNA ligase D
TIGR02777	DNA ligase D, 3'-phosphoesterase domain
TIGR02778	non-homologous end-joining DNA ligase, polymerase domain
TIGR02779	non-homologous end-joining DNA ligase, ligase domain
TIGR02780	P-type conjugative transfer protein TrbJ
TIGR02781	P-type conjugative transfer protein VirB9
TIGR02782	P-type conjugative transfer ATPase TrbB
TIGR02783	P-type conjugative transfer protein TrbL
TIGR02784	double-strand break repair helicase AddA
TIGR02785	helicase-exonuclease AddAB subunit AddA
TIGR02786	double-strand break repair protein AddB
TIGR02787	GTP-sensing pleiotropic transcriptional regulator CodY
TIGR02788	P-type DNA transfer ATPase VirB11
TIGR02789	nickel ABC transporter permease subunit NikB
TIGR02790	nickel ABC transporter permease subunit NikC
TIGR02791	P-type DNA transfer protein VirB5
TIGR02792	protocatechuate 4,5-dioxygenase subunit alpha
TIGR02793	nickel-responsive transcriptional regulator NikR
TIGR02794	cell envelope integrity protein TolA
TIGR02795	tol-pal system protein YbgF
TIGR02796	protein TolQ
TIGR02797	tonB-system energizer ExbB
TIGR02798	4-carboxy-4-hydroxy-2-oxoadipate aldolase/oxaloacetate decarboxylase
TIGR02799	tol-pal system-associated acyl-CoA thioesterase
TIGR02800	Tol-Pal system beta propeller repeat protein TolB
TIGR02801	protein TolR
TIGR02802	peptidoglycan-associated lipoprotein Pal
TIGR02803	TonB system transport protein ExbD
TIGR02804	TonB system transport protein ExbD
TIGR02805	TonB-system energizer ExbB
TIGR02806	clostripain
TIGR02807	type I-MYXAN CRISPR-associated protein Cas6/Cmx6
TIGR02808	TIGR02808 family protein
TIGR02809	phasin family protein
TIGR02810	D-tagatose-bisphosphate aldolase, class II, non-catalytic subunit
TIGR02811	formate dehydrogenase region TAT target
TIGR02812	fatty acid metabolism transcriptional regulator FadR
TIGR02813	polyketide-type polyunsaturated fatty acid synthase PfaA
TIGR02814	PfaD family polyunsaturated fatty acid/polyketide biosynthesis domain
TIGR02815	putative sugar isomerase, AgaS family
TIGR02816	PfaB family protein
TIGR02817	zinc-binding alcohol dehydrogenase family protein
TIGR02818	S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase
TIGR02819	formaldehyde dehydrogenase, glutathione-independent
TIGR02820	S-(hydroxymethyl)glutathione synthase
TIGR02821	S-formylglutathione hydrolase
TIGR02822	zinc-binding alcohol dehydrogenase family protein
TIGR02823	acryloyl-CoA reductase
TIGR02824	putative NAD(P)H quinone oxidoreductase, PIG3 family
TIGR02825	leukotriene B4 12-hydroxydehydrogenase/15-oxo-prostaglandin 13-reductase
TIGR02826	anaerobic ribonucleoside-triphosphate reductase activating protein
TIGR02827	anaerobic ribonucleoside-triphosphate reductase
TIGR02828	putative membrane fusion protein
TIGR02829	stage III sporulation protein AE
TIGR02830	stage III sporulation protein AG
TIGR02831	stage II sporulation protein M
TIGR02832	sporulation protein YunB
TIGR02833	stage III sporulation protein SpoIIIAB
TIGR02834	putative sporulation protein YtxC
TIGR02835	RNA polymerase sporulation sigma factor SigE
TIGR02836	stage IV sporulation protein A
TIGR02837	stage II sporulation protein R
TIGR02838	stage V sporulation protein AC
TIGR02839	stage V sporulation protein AE
TIGR02840	sporulation membrane protein YtaF
TIGR02841	spore protease YyaC
TIGR02842	cytochrome o ubiquinol oxidase subunit III
TIGR02843	cytochrome o ubiquinol oxidase subunit I
TIGR02844	sporulation transcriptional regulator SpoIIID
TIGR02845	stage V sporulation protein AD
TIGR02846	RNA polymerase sporulation sigma factor SigK
TIGR02847	cytochrome o ubiquinol oxidase subunit IV
TIGR02848	stage III sporulation protein AC
TIGR02849	stage III sporulation protein AD
TIGR02850	RNA polymerase sporulation sigma factor SigG
TIGR02851	stage V sporulation protein T
TIGR02852	dipicolinate synthase subunit B
TIGR02853	dipicolinic acid synthetase subunit A
TIGR02854	sigma-E processing peptidase SpoIIGA
TIGR02855	sporulation peptidase YabG
TIGR02856	sporulation protein YqfC
TIGR02857	thiol reductant ABC exporter subunit CydD
TIGR02858	stage III sporulation protein AA
TIGR02859	RNA polymerase sporulation sigma factor SigH
TIGR02860	SpoIVB peptidase
TIGR02861	H-type small acid-soluble spore protein
TIGR02862	pro-sigmaK processing inhibitor BofA
TIGR02863	small acid-soluble spore protein SspJ
TIGR02864	small acid-soluble spore protein O
TIGR02865	stage II sporulation protein E
TIGR02866	cytochrome c oxidase subunit II
TIGR02867	stage II sporulation protein P
TIGR02868	thiol reductant ABC exporter subunit CydC
TIGR02869	spore cortex-lytic enzyme
TIGR02870	stage II sporulation protein D
TIGR02871	sporulation integral membrane protein YlbJ
TIGR02872	sporulation integral membrane protein YtvI
TIGR02873	probable sporulation protein, polysaccharide deacetylase family
TIGR02874	GerW family sporulation protein
TIGR02875	sporulation transcription factor Spo0A
TIGR02876	sporulation protein YqfD
TIGR02877	sporulation protein YhbH
TIGR02878	sporulation protein YpjB
TIGR02880	CbbX protein
TIGR02881	stage V sporulation protein K
TIGR02882	cytochrome aa3 quinol oxidase subunit I
TIGR02883	N-acetylmuramoyl-L-alanine amidase CwlD
TIGR02884	delta-lactam-biosynthetic de-N-acetylase
TIGR02885	RNA polymerase sporulation sigma factor SigF
TIGR02886	anti-sigma F factor antagonist
TIGR02887	Ger(x)C family spore germination protein
TIGR02888	YlmC/YmxH family sporulation protein
TIGR02889	germination protein YpeB
TIGR02890	regulatory protein, yteA family
TIGR02891	cytochrome c oxidase subunit I
TIGR02892	sporulation protein YabP
TIGR02893	spore cortex biosynthesis protein YabQ
TIGR02894	RsfA family transcriptional regulator
TIGR02895	RNA polymerase sigma-I factor
TIGR02896	stage III sporulation protein AF
TIGR02897	cytochrome aa3 quinol oxidase subunit III
TIGR02898	YhcN/YlaJ family sporulation lipoprotein
TIGR02899	SafA/ExsA family spore coat assembly protein N-terminal domain
TIGR02900	stage V sporulation protein B
TIGR02901	cytochrome aa3 quinol oxidase subunit IV
TIGR02902	ATP-dependent protease LonB
TIGR02903	ATP-dependent protease, Lon family
TIGR02904	spore coat protein YsxE
TIGR02905	spore coat protein YutH
TIGR02906	CotS family spore coat protein
TIGR02907	stage VI sporulation protein D
TIGR02908	cytochrome c oxidase subunit IVB
TIGR02909	uncharacterized protein, YkwD family
TIGR02910	anaerobic sulfite reductase subunit AsrA
TIGR02911	anaerobic sulfite reductase subunit AsrB
TIGR02912	sulfite reductase subunit C
TIGR02913	HAF repeat
TIGR02914	EpsI family protein
TIGR02915	PEP-CTERM-box response regulator transcription factor
TIGR02916	PEP-CTERM system histidine kinase PrsK
TIGR02917	PEP-CTERM system TPR-repeat protein PrsT
TIGR02918	accessory Sec system glycosyltransferase GtfA
TIGR02919	accessory Sec system glycosylation chaperone GtfB
TIGR02920	accessory Sec system protein translocase subunit SecY2
TIGR02921	TIGR02921 family PEP-CTERM protein
TIGR02922	TIGR02922 family protein
TIGR02923	ATP synthase A1 subunit C
TIGR02924	isocitrate dehydrogenase
TIGR02925	peptidyl-prolyl cis-trans isomerase, EpsD family
TIGR02926	ATP synthase archaeal subunit H
TIGR02927	2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase
TIGR02928	orc1/cdc6 family replication initiation protein
TIGR02929	Fe-only nitrogenase subunit delta
TIGR02930	V-containing nitrogenase subunit delta
TIGR02931	Fe-only nitrogenase subunit beta
TIGR02932	V-containing nitrogenase subunit beta
TIGR02933	nitrogen fixation protein NifM
TIGR02934	putative nitrogen fixation protein NifT
TIGR02935	NifX-associated nitrogen fixation protein
TIGR02936	ferredoxin III, nif-specific
TIGR02937	sigma-70 family RNA polymerase sigma factor
TIGR02938	nitrogen fixation negative regulator NifL
TIGR02939	RNA polymerase sigma factor RpoE
TIGR02940	Fe-only nitrogenase accessory protein AnfO
TIGR02941	RNA polymerase sigma factor SigB
TIGR02943	RNA polymerase sigma-70 factor, TIGR02943 family
TIGR02944	SUF system Fe-S cluster assembly regulator
TIGR02945	SUF system Fe-S cluster assembly protein
TIGR02946	wax ester/triacylglycerol synthase family O-acyltransferase
TIGR02947	RNA polymerase sigma-70 factor, TIGR02947 family
TIGR02948	RNA polymerase sigma factor SigW
TIGR02950	RNA polymerase sigma factor, SigM family
TIGR02951	dimethylsulfoxide reductase subunit B
TIGR02952	RNA polymerase sigma-70 factor, TIGR02952 family
TIGR02953	pentapeptide MXKDX repeat protein
TIGR02954	RNA polymerase sigma-70 factor, TIGR02954 family
TIGR02955	TMAO reductase system periplasmic protein TorT
TIGR02956	TMAO reductase system sensor histidine kinase/response regulator TorS
TIGR02957	RNA polymerase sigma-70 factor
TIGR02959	RNA polymerase sigma factor SigZ
TIGR02960	RNA polymerase sigma-70 factor, TIGR02960 family
TIGR02961	allantoicase
TIGR02962	hydroxyisourate hydrolase
TIGR02963	xanthine dehydrogenase small subunit
TIGR02964	xanthine dehydrogenase accessory protein XdhC
TIGR02965	xanthine dehydrogenase molybdopterin binding subunit
TIGR02966	phosphate regulon sensor histidine kinase PhoR
TIGR02967	guanine deaminase
TIGR02968	succinate dehydrogenase, hydrophobic membrane anchor protein
TIGR02969	aldehyde oxidase
TIGR02970	succinate dehydrogenase, cytochrome b556 subunit
TIGR02971	ABC exporter membrane fusion protein, DevB family
TIGR02972	trimethylamine N-oxide reductase system protein TorE
TIGR02973	periplasmic nitrate reductase, NapE protein
TIGR02974	phage shock protein operon transcriptional activator
TIGR02975	envelope stress response protein PspG
TIGR02976	envelope stress response membrane protein PspB
TIGR02977	phage shock protein PspA
TIGR02978	envelope stress response membrane protein PspC
TIGR02979	phage shock protein PspD
TIGR02980	SigB/SigF/SigG family RNA polymerase sigma factor
TIGR02981	thiosulfate sulfurtransferase PspE
TIGR02982	ABC exporter ATP-binding subunit, DevA family
TIGR02983	SigE family RNA polymerase sigma factor
TIGR02984	RNA polymerase sigma-70 factor, Planctomycetaceae-specific subfamily 1
TIGR02985	RNA polymerase sigma-70 factor
TIGR02986	Alw26I/Eco31I/Esp3I family type II restriction endonuclease
TIGR02987	Alw26I/Eco31I/Esp3I family type II restriction adenine-specific DNA-methyltransferase
TIGR02988	S4 domain-containing protein YaaA
TIGR02989	RNA polymerase sigma-70 factor, Rhodopirellula/Verrucomicrobium family
TIGR02990	ectoine utilization protein EutA
TIGR02991	hydroxyectoine utilization dehydratase EutB
TIGR02992	ectoine utilization protein EutC
TIGR02993	ectoine hydrolase DoeA
TIGR02994	N(2)-acetyl-L-2,4-diaminobutanoate deacetylase DoeB
TIGR02995	ectoine/hydroxyectoine ABC transporter substrate-binding protein EhuB
TIGR02996	TIGR02996 domain
TIGR02997	RNA polymerase sigma factor, RpoD/SigA family
TIGR02998	ribonuclease E activity regulator RraA
TIGR02999	ECF-type sigma factor, TIGR02999 family
TIGR03000	TIGR03000 domain
TIGR03001	RNA polymerase sigma-70 factor, Myxococcales family 1
TIGR03002	lipopolysaccharide transport periplasmic protein LptA
TIGR03003	ectoine/hydroxyectoine ABC transporter permease subunit EhuD
TIGR03004	ectoine/hydroxyectoine ABC transporter permease subunit EhuC
TIGR03005	ectoine/hydroxyectoine ABC transporter ATP-binding protein EhuA
TIGR03006	polysaccharide deacetylase family protein, PEP-CTERM locus subfamily
TIGR03007	polysaccharide chain length determinant protein, PEP-CTERM locus subfamily
TIGR03008	CAAX prenyl protease-related protein
TIGR03009	TIGR03009 domain
TIGR03010	sulfurtransferase complex subunit TusC
TIGR03011	sulfurtransferase complex subunit TusB
TIGR03012	sulfurtransferase complex subunit TusD
TIGR03013	TIGR03013 family PEP-CTERM/XrtA system glycosyltransferase
TIGR03014	putative exosortase B-associated extracellular polysaccharide biosynthesis transporter EpsL
TIGR03015	XrtA-associated ATPase
TIGR03016	TIGR03016 family PEP-CTERM system-associated outer membrane protein
TIGR03017	chain length determinant protein EpsF
TIGR03018	XrtA-associated tyrosine autokinase
TIGR03019	FemAB family PEP-CTERM system-associated protein
TIGR03020	transcriptional regulator EpsA
TIGR03021	type IV pilus biogenesis protein PilP
TIGR03022	undecaprenyl-phosphate galactose phosphotransferase WbaP
TIGR03023	undecaprenyl-phosphate glucose phosphotransferase
TIGR03024	PEF-CTERM protein-sorting domain
TIGR03025	exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase
TIGR03026	nucleotide sugar dehydrogenase
TIGR03027	putative polysaccharide export protein, PEP-CTERM sytem-associated
TIGR03028	polysaccharide export protein EpsE
TIGR03029	chain length determinant protein tyrosine kinase EpsG
TIGR03030	UDP-forming cellulose synthase catalytic subunit
TIGR03031	type II-B CRISPR-associated RNA-guided endonuclease Cas9/Csx12
TIGR03032	TIGR03032 family protein
TIGR03033	putative phage-type endonuclease
TIGR03034	conserved hypothetical protein
TIGR03035	arylformamidase
TIGR03036	tryptophan 2,3-dioxygenase
TIGR03037	3-hydroxyanthranilate 3,4-dioxygenase
TIGR03038	photosystem II reaction center protein PsbM
TIGR03039	photosystem II chlorophyll-binding protein CP47
TIGR03041	chlorophyll a/b binding light-harvesting protein
TIGR03042	photosystem II protein PsbQ
TIGR03043	photosystem II reaction center protein PsbZ
TIGR03044	photosystem II protein Psb27
TIGR03045	photosystem II cytochrome c-550
TIGR03046	photosystem II cytochrome PsbV2
TIGR03047	photosystem II reaction center protein Psb28
TIGR03048	photosystem I iron-sulfur center protein PsaC
TIGR03049	photosystem I reaction center subunit PsaK
TIGR03050	photosystem I reaction center PsaK
TIGR03051	photosystem I reaction center subunit V
TIGR03052	photosystem I reaction center subunit VIII
TIGR03053	photosystem I reaction center subunit XII
TIGR03054	photosynthetic complex assembly protein PuhC
TIGR03055	putative photosynthetic complex assembly protein PuhE
TIGR03056	putative magnesium chelatase accessory protein
TIGR03057	X-X-X-Leu-X-X-Gly heptad repeat (four copies)
TIGR03058	chlorosome envelope protein H
TIGR03059	photosystem I protein PsaO
TIGR03060	photosystem II biogenesis protein Psp29
TIGR03061	YhgE/Pip N-terminal domain
TIGR03062	YhgE/Pip C-terminal domain
TIGR03063	sortase B protein-sorting domain
TIGR03064	class B sortase
TIGR03065	QVPTGV class sortase B protein-sorting domain
TIGR03066	TIGR03066 family protein
TIGR03067	TIGR03067 domain
TIGR03068	NPQTN class sortase B protein-sorting domain
TIGR03069	photosystem II S4 domain protein
TIGR03070	type II toxin-antitoxin system Y4mF family antitoxin
TIGR03071	HipA N-terminal domain
TIGR03072	peptide chain release factor H
TIGR03073	RNA ligase RtcB family protein, release factor H-associated
TIGR03074	membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family
TIGR03075	PQQ-dependent dehydrogenase, methanol/ethanol family
TIGR03076	chlamydial GcvH-like protein upstream region protein
TIGR03077	glycine cleavage protein H-like protein
TIGR03078	methane monooxygenase/ammonia monooxygenase subunit C
TIGR03079	methane monooxygenase/ammonia monooxygenase subunit B
TIGR03080	methane monooxygenase/ammonia monooxygenase subunit A
TIGR03081	methylmalonyl-CoA epimerase
TIGR03082	membrane protein AbrB duplication
TIGR03083	maleylpyruvate isomerase family mycothiol-dependent enzyme
TIGR03084	TIGR03084 family metal-binding protein
TIGR03085	TIGR03085 family metal-binding protein
TIGR03086	TIGR03086 family metal-binding protein
TIGR03087	TIGR03087 family PEP-CTERM/XrtA system glycosyltransferase
TIGR03088	TIGR03088 family PEP-CTERM/XrtA system glycosyltransferase
TIGR03089	TIGR03089 family protein
TIGR03090	small acid-soluble spore protein Tlp
TIGR03091	small, acid-soluble spore protein K
TIGR03092	small acid-soluble spore protein SspI
TIGR03093	small, acid-soluble spore protein L
TIGR03094	sulfocyanin
TIGR03095	rusticyanin
TIGR03096	nitrosocyanin
TIGR03097	putative O-glycosylation ligase, exosortase A system-associated
TIGR03098	acyl-CoA ligase (AMP-forming), exosortase A system-associated
TIGR03099	pyridoxal-dependent decarboxylase, exosortase A system-associated
TIGR03100	hydrolase 1, exosortase A system-associated
TIGR03101	hydrolase 2, exosortase A system-associated
TIGR03102	halocyanin domain
TIGR03103	N-acetylglutaminylglutamine synthetase
TIGR03104	N-acetylglutaminylglutamine amidotransferase
TIGR03105	glutamine synthetase, type III
TIGR03106	osmoprotectant NAGGN system M42 family peptidase
TIGR03107	glutamyl aminopeptidase
TIGR03108	amidotransferase 1, exosortase A system-associated
TIGR03109	exosortase A
TIGR03110	exosortase family protein XrtG
TIGR03111	putative glycosyltransferase, exosortase G system-associated
TIGR03112	6-pyruvoyl tetrahydropterin synthase-related domain
TIGR03113	exosortase B
TIGR03114	type IV CRISPR-associated protein Csf1
TIGR03115	type IV CRISPR-associated protein Csf2
TIGR03116	type IV CRISPR-associated protein Csf3
TIGR03117	type IV CRISPR-associated DEAD/DEAH-box helicase Csf4
TIGR03118	TIGR03118 family protein
TIGR03119	formylmethanofuran--tetrahydromethanopterin N-formyltransferase
TIGR03120	methenyltetrahydromethanopterin cyclohydrolase
TIGR03121	formylmethanofuran dehydrogenase subunit A
TIGR03122	formylmethanofuran dehydrogenase subunit C
TIGR03123	probable H4MPT-linked C1 transfer pathway protein
TIGR03124	citrate lyase holo-[acyl-carrier protein] synthase
TIGR03125	triphosphoribosyl-dephospho-CoA synthase CitG
TIGR03126	formaldehyde-activating enzyme
TIGR03127	6-phospho-3-hexuloisomerase
TIGR03128	3-hexulose-6-phosphate synthase
TIGR03129	formylmethanofuran dehydrogenase subunit B
TIGR03130	malonate decarboxylase acyl carrier protein
TIGR03131	malonate decarboxylase subunit epsilon
TIGR03132	triphosphoribosyl-dephospho-CoA synthase MdcB
TIGR03133	biotin-independent malonate decarboxylase subunit beta
TIGR03134	biotin-independent malonate decarboxylase subunit gamma
TIGR03135	malonate decarboxylase holo-[acyl-carrier-protein] synthase
TIGR03136	Na+-transporting malonate decarboxylase, carboxybiotin decarboxylase subunit
TIGR03137	alkyl hydroperoxide reductase subunit C (peroxiredoxin)
TIGR03138	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF
TIGR03139	preQ(1) synthase
TIGR03140	alkyl hydroperoxide reductase subunit F
TIGR03141	heme exporter protein CcmD
TIGR03142	c-type cytochrome biogenesis protein CcmI
TIGR03143	putative alkyl hydroperoxide reductase F subunit
TIGR03144	c-type cytochrome biogenesis protein CcsB
TIGR03145	heme lyase NrfEFG subunit NrfE
TIGR03146	cytochrome c nitrite reductase pentaheme subunit
TIGR03147	heme lyase NrfEFG subunit NrfF
TIGR03148	cytochrome c nitrite reductase subunit NrfD
TIGR03149	cytochrome c nitrite reductase Fe-S protein
TIGR03150	beta-ketoacyl-ACP synthase II
TIGR03151	enoyl-[acyl-carrier-protein] reductase FabK
TIGR03152	ammonia-forming nitrite reductase cytochrome c552 subunit
TIGR03153	cytochrome c nitrite reductase small subunit
TIGR03154	cytochrome b558/566 subunit A
TIGR03155	cytochrome b558/566 subunit B
TIGR03156	GTPase HflX
TIGR03157	type I-D CRISPR-associated protein Cas7/Csc2
TIGR03158	type I-D CRISPR-associated helicase Cas3'
TIGR03159	type I-D CRISPR-associated protein Cas5/Csc1
TIGR03160	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
TIGR03161	alpha-ribazole phosphatase CobZ
TIGR03162	alpha-ribazole phosphatase
TIGR03164	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase
TIGR03165	F1/F0 ATPase, Methanosarcina type, subunit 2
TIGR03166	alternate F1F0 ATPase, F1 subunit epsilon
TIGR03167	tRNA 2-selenouridine(34) synthase MnmH
TIGR03168	hexose kinase, FruK/PfkB/LacC family
TIGR03169	pyridine nucleotide-disulfide oxidoreductase family protein
TIGR03170	flagellar basal body P-ring formation chaperone FlgA
TIGR03171	Rieske iron-sulfur protein SoxL2
TIGR03172	selenium cofactor biosynthesis protein YqeC
TIGR03173	xanthine permease
TIGR03174	type I-D CRISPR-associated protein Cas10d/Csc3
TIGR03175	ureidoglycolate dehydrogenase
TIGR03176	allantoate deiminase
TIGR03177	Flp pilus assembly protein CpaB
TIGR03178	allantoinase AllB
TIGR03180	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase
TIGR03181	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha
TIGR03182	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha
TIGR03183	DNA phosphorothioation system sulfurtransferase DndC
TIGR03184	DNA sulfur modification protein DndE
TIGR03185	DNA sulfur modification protein DndD
TIGR03186	alpha-ketoglutarate dehydrogenase
TIGR03187	DGQHR domain
TIGR03188	phosphoribosyl-ATP diphosphatase
TIGR03189	cyclohexa-1,5-dienecarbonyl-CoA hydratase
TIGR03190	benzoyl-CoA reductase, bzd-type, subunit N
TIGR03191	benzoyl-CoA reductase, bzd-type, subunit O
TIGR03192	benzoyl-CoA reductase, bzd-type, subunit Q
TIGR03193	4-hydroxybenzoyl-CoA reductase subunit gamma
TIGR03194	4-hydroxybenzoyl-CoA reductase subunit alpha
TIGR03195	4-hydroxybenzoyl-CoA reductase subunit beta
TIGR03196	xanthine dehydrogenase subunit D
TIGR03197	FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC
TIGR03198	xanthine dehydrogenase subunit E
TIGR03199	xanthine dehydrogenase subunit C
TIGR03200	6-oxocyclohex-1-ene-1-carbonyl-CoA hydratase
TIGR03201	6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase
TIGR03202	xanthine dehydrogenase accessory protein PucB
TIGR03203	pimeloyl-CoA dehydrogenase small subunit
TIGR03204	pimeloyl-CoA dehydrogenase large subunit
TIGR03205	dicarboxylate--CoA ligase PimA
TIGR03206	2-hydroxycyclohexanecarboxyl-CoA dehydrogenase
TIGR03207	cyclohexanecarboxyl-CoA dehydrogenase
TIGR03208	cyclohexanecarboxylate-CoA ligase
TIGR03209	botulinum neurotoxin transcription-activating sigma factor BotR
TIGR03210	2-ketocyclohexanecarboxyl-CoA hydrolase
TIGR03211	catechol 2,3-dioxygenase
TIGR03212	allantoinase PuuE
TIGR03213	biphenyl-2,3-diol 1,2-dioxygenase
TIGR03214	(S)-ureidoglycine aminohydrolase
TIGR03215	acetaldehyde dehydrogenase (acetylating)
TIGR03216	2-hydroxymuconic semialdehyde dehydrogenase
TIGR03217	4-hydroxy-2-oxovalerate aldolase
TIGR03218	2-oxo-3-hexenedioate decarboxylase
TIGR03219	salicylate 1-monooxygenase
TIGR03220	2-oxopent-4-enoate hydratase
TIGR03221	muconolactone Delta-isomerase
TIGR03222	2,3-epoxybenzoyl-CoA dihydrolase
TIGR03223	putative phosphonate metabolism protein
TIGR03224	benzoyl-CoA 2,3-epoxidase subunit BoxA
TIGR03225	benzoyl-CoA 2,3-epoxidase subunit BoxB
TIGR03226	2-aminoethylphosphonate ABC transporter permease subunit
TIGR03227	2-aminoethylphosphonate ABC transporter substrate-binding protein
TIGR03228	anthranilate 1,2-dioxygenase large subunit
TIGR03229	benzoate 1,2-dioxygenase large subunit
TIGR03230	lipoprotein lipase
TIGR03231	anthranilate 1,2-dioxygenase small subunit
TIGR03232	benzoate 1,2-dioxygenase small subunit
TIGR03233	DNA sulfur modification protein DndB
TIGR03234	hydroxypyruvate isomerase
TIGR03235	cysteine desulfurase DndA
TIGR03236	DNA phosphorothioation-dependent restriction protein DptG
TIGR03237	DNA phosphorothioation-dependent restriction protein DptH
TIGR03238	DNA phosphorothioation-dependent restriction protein DptF
TIGR03239	2-dehydro-3-deoxyglucarate aldolase
TIGR03240	succinylglutamate-semialdehyde dehydrogenase
TIGR03241	N-succinylarginine dihydrolase
TIGR03242	succinylglutamate desuccinylase
TIGR03243	arginine and ornithine succinyltransferase subunits
TIGR03244	arginine N-succinyltransferase
TIGR03245	arginine/ornithine succinyltransferase subunit alpha
TIGR03246	acetylornithine/succinylornithine family transaminase
TIGR03247	glucarate dehydratase
TIGR03248	galactarate dehydratase
TIGR03249	5-dehydro-4-deoxyglucarate dehydratase
TIGR03250	phosphonoacetaldehyde dehydrogenase
TIGR03251	L-lysine 6-transaminase
TIGR03252	HhH-GPD-type base excision DNA repair protein
TIGR03253	formyl-CoA transferase
TIGR03254	oxalyl-CoA decarboxylase
TIGR03255	2-aminoethylphosphonate ABC transport system, membrane component PhnV
TIGR03256	coenzyme-B sulfoethylthiotransferase subunit alpha
TIGR03257	coenzyme-B sulfoethylthiotransferase subunit beta
TIGR03258	2-aminoethylphosphonate ABC transport system ATP-binding subunit PhnT
TIGR03259	coenzyme-B sulfoethylthiotransferase subunit gamma
TIGR03260	methyl-coenzyme M reductase operon protein D
TIGR03261	putative 2-aminoethylphosphonate ABC transporter substrate-binding protein
TIGR03262	putative 2-aminoethylphosphonate ABC transporter permease subunit
TIGR03263	guanylate kinase
TIGR03264	methyl-coenzyme M reductase I operon protein C
TIGR03265	putative 2-aminoethylphosphonate ABC transporter ATP-binding protein
TIGR03266	YcaO-related McrA-glycine thioamidation protein
TIGR03267	methanogenesis marker 2 protein
TIGR03268	methanogenesis marker 3 protein
TIGR03269	methyl coenzyme M reductase system, component A2
TIGR03270	methanogenesis marker protein Mmp4/MtxX
TIGR03271	methanogenesis marker 5 protein
TIGR03272	methanogenesis marker 6 protein
TIGR03274	methanogenesis marker 7 protein
TIGR03275	putative methanogenesis marker protein 8
TIGR03276	phosphonate degradation operons associated HDIG domain protein
TIGR03277	methanogenesis marker 9 domain-containing protein
TIGR03278	methyl coenzyme M reductase-arginine methyltransferase Mmp10
TIGR03279	TIGR03279 family radical SAM protein
TIGR03280	methanogenesis imperfect marker protein 11
TIGR03281	methanogenesis marker 12 protein
TIGR03282	Ni-sirohydrochlorin a,c-diamide reductive cyclase catalytic subunit
TIGR03283	thymidylate synthase
TIGR03284	thymidylate synthase
TIGR03285	methanogenesis marker 14 protein
TIGR03286	methanogenesis marker 15 protein
TIGR03287	methanogenesis marker 16 metalloprotein
TIGR03288	CoB--CoM heterodisulfide reductase subunit B
TIGR03289	coenzyme F420 hydrogenase subunit beta
TIGR03290	CoB--CoM heterodisulfide reductase subunit C
TIGR03291	methanogenesis marker 17 protein
